name,draft_year,draft_pick,y1_pts,y1_reb,y1_ast,y1_fg_pct,y1_fg3_pct,y1_ft_pct,y1_min,y1_tov,y2_pts,y2_reb,y2_ast,y2_fg_pct,y2_fg3_pct,y2_ft_pct,y2_min,y2_tov,y5_pts,y5_reb,y5_ast,y5_fg_pct,y5_fg3_pct,y5_ft_pct,y5_min,y5_tov
AJ Griffin,2022,16,8.9,2.1,1.0,0.465,0.39,0.894,19.5,0.6,2.4,0.9,0.3,0.29,0.256,1.0,8.6,0.4,,,,,,,,
Aaron Gordon,2014,4,5.2,3.6,0.7,0.447,0.271,0.721,17.0,0.8,9.2,6.5,1.6,0.473,0.296,0.668,23.9,0.8,16.0,7.4,3.7,0.449,0.349,0.731,33.8,2.1
Aaron Holiday,2018,23,5.9,1.3,1.7,0.401,0.339,0.82,12.9,0.8,9.5,2.4,3.4,0.414,0.394,0.851,24.5,1.3,3.9,1.2,1.4,0.418,0.409,0.844,13.4,0.6
Aaron Nesmith,2020,14,4.7,2.8,0.5,0.438,0.37,0.786,14.5,0.5,3.8,1.7,0.4,0.396,0.27,0.808,11.0,0.6,12.0,4.0,1.2,0.507,0.431,0.912,24.9,0.8
Aaron Wiggins,2021,55,8.3,3.6,1.4,0.463,0.304,0.729,24.2,1.1,6.8,3.0,1.1,0.512,0.393,0.831,18.5,0.8,10.6,3.5,1.8,0.444,0.387,0.735,23.8,1.3
Abdel Nader,2016,58,,,,,,,,,3.0,1.5,0.5,0.336,0.354,0.59,10.9,0.7,6.7,2.6,0.8,0.491,0.419,0.757,14.8,0.8
Admiral Schofield,2019,42,3.0,1.4,0.5,0.38,0.311,0.667,11.2,0.2,,,,,,,,,1.1,0.7,0.3,0.385,0.375,0.0,3.7,0.2
Adreian Payne,2014,15,1.7,1.3,0.0,0.286,0.0,0.5,6.3,0.0,2.5,2.1,0.6,0.366,0.281,0.654,9.3,0.7,,,,,,,,
Aleksej Pokusevski,2020,17,8.2,4.7,2.2,0.341,0.28,0.738,24.2,2.2,7.6,5.2,2.1,0.408,0.289,0.7,20.2,1.5,,,,,,,,
Alen Smailagic,2019,39,4.2,1.9,0.9,0.5,0.231,0.842,9.9,0.8,1.9,1.1,0.3,0.407,0.4,0.333,5.6,0.3,,,,,,,,
Alex Len,2013,5,2.0,2.4,0.1,0.423,0.0,0.645,8.6,0.6,6.3,6.6,0.5,0.507,0.333,0.702,22.0,1.1,8.5,7.5,1.2,0.566,0.333,0.684,20.2,1.1
Alize Johnson,2018,50,0.9,1.4,0.1,0.25,0.5,0.5,4.6,0.0,2.0,2.8,0.4,0.414,0.375,0.7,6.9,0.4,1.8,2.5,0.3,0.5,0.0,0.5,7.5,1.0
Allen Crabbe,2013,31,2.2,0.6,0.4,0.364,0.429,0.75,6.7,0.2,3.3,1.4,0.8,0.412,0.353,0.75,13.4,0.3,13.2,4.3,1.6,0.407,0.378,0.852,29.3,1.0
Alperen Sengun,2021,16,9.6,5.5,2.6,0.474,0.248,0.711,20.7,2.0,14.8,9.0,3.9,0.553,0.333,0.715,28.9,2.6,20.7,9.4,6.3,0.497,0.299,0.691,33.9,3.2
Andre Drummond,2012,9,7.9,7.6,0.5,0.608,0.5,0.371,20.7,1.0,13.5,13.2,0.4,0.623,0.0,0.418,32.3,1.4,13.6,13.8,1.1,0.53,0.286,0.386,29.7,1.9
