feature,importance,std
y2_pts,0.45552442150019284,0.09055917136203932
y2_fg_pct,0.04370126103546694,0.02572153236671243
delta_min,0.008262334784329039,0.017211719858721736
y2_ft_pct,-0.0033878496935527357,0.010172345397473128
y2_fg3_pct,-0.008656794522311639,0.013595593952696598
draft_pick,-0.010077204918617999,0.020221403591847525
y2_ast_tov,-0.010598711784792325,0.017407209461679514
y2_ast,-0.02264609209010291,0.022639996769634647
delta_ast,-0.025259020504942366,0.010820155041215286
y2_min,-0.030032774260257668,0.006171416791209496
y2_reb,-0.04695965207594784,0.0176771884848903
delta_pts,-0.07296891042652921,0.016296138883812747
